,ID,Game Name,Match Name,Num in Match,Region,Tournament,Blue Team Name,Red Team Name,Date,Week,Winner,Blue kills,Red kills,Total kills,Blue towers,Red towers,Total towers,Blue dragons,Red dragons,Total dragons,Blue barons,Red barons,Total barons,Blue gold,Red gold,Total gold,First blood team,First blood time,First tower team,First tower time,First dragon team,First dragon time,First rift herald team,First rift herald time,First baron team,First baron time,Game time,Blue players,Red players
0,11322,DRX  vs Liiv SANDBOX ,DRX vs LSB 1,1,LCK,LCK Spring 2022,DRX ,Liiv SANDBOX ,2022-01-12,1,red,5,14,19,8,9,17,1,0,1,0,2,2,63.7,67.7,131.4,blue,618,blue,673,blue,516,blue,516,red,1590,2195,"kingen,Pyosik,Zeka,Deft,BeryL,","Dove,Croco,Clozer,Envyy,Kael,"
1,21322,DRX  vs Liiv SANDBOX ,DRX vs LSB 1,2,LCK,LCK Spring 2022,DRX ,Liiv SANDBOX ,2022-01-12,1,red,7,15,22,3,9,12,0,0,0,1,1,2,60.7,67.2,127.9,blue,192,blue,1131,red,192,blue,509,red,1562,2069,"kingen,Pyosik,Zeka,Deft,BeryL,","Dove,Croco,Clozer,Envyy,Kael,"
2,31322,T1  vs Kwangdong Freecs ,T1 vs KDF 1,1,LCK,LCK Spring 2022,T1 ,Kwangdong Freecs ,2022-01-12,1,blue,12,7,19,7,2,9,5,0,5,1,0,1,66.5,58.8,125.3,blue,366,red,922,blue,366,blue,526,blue,1985,2232,"Zeus,Oner,Faker,Gumayusi,Keria,","Kiin,Ellim,FATE,Teddy,Hoit,"
3,41322,Kwangdong Freecs  vs T1 ,T1 vs KDF 1,2,LCK,LCK Spring 2022,Kwangdong Freecs ,T1 ,2022-01-12,1,red,4,18,22,2,10,12,0,0,0,0,1,1,38.5,51.0,89.5,red,379,red,538,red,379,blue,506,red,1279,1505,"Kiin,Ellim,FATE,Teddy,Hoit,","Zeus,Oner,Faker,Gumayusi,Keria,"
4,51322,Nongshim RedForce  vs Hanwha Life eSports ,HLE vs NS 1,1,LCK,LCK Spring 2022,Nongshim RedForce ,Hanwha Life eSports ,2022-01-13,1,blue,19,8,27,11,1,12,4,0,4,1,0,1,67.8,57.4,125.19999999999999,blue,466,blue,861,blue,466,blue,512,blue,1674,2152,"Canna,Dread,Bdd,Ghost,Effort,","DuDu,OnFleek,Karis,SamD,Vsta,"
5,61322,Hanwha Life eSports  vs Nongshim RedForce ,HLE vs NS 1,2,LCK,LCK Spring 2022,Hanwha Life eSports ,Nongshim RedForce ,2022-01-13,1,blue,15,3,18,11,4,15,3,0,3,2,0,2,61.7,52.7,114.4,blue,516,blue,774,blue,516,blue,547,blue,1399,1957,"DuDu,OnFleek,Karis,SamD,Vsta,","Canna,Dread,Bdd,Ghost,Effort,"
6,71322,Nongshim RedForce  vs Hanwha Life eSports ,HLE vs NS 1,3,LCK,LCK Spring 2022,Nongshim RedForce ,Hanwha Life eSports ,2022-01-13,1,red,9,25,34,3,11,14,2,0,2,0,1,1,60.6,73.0,133.6,red,273,red,713,red,273,red,549,red,1835,2166,"Canna,Dread,Bdd,Ghost,Effort,","DuDu,OnFleek,Karis,SamD,Vsta,"
7,81322,KT Rolster  vs DWG KIA ,KT Rolster vs DWG KIA 1,1,LCK,LCK Spring 2022,KT Rolster ,DWG KIA ,2022-01-13,1,red,6,10,16,4,10,14,1,0,1,1,1,2,68.7,76.6,145.3,blue,775,red,897,red,592,blue,644,blue,2050,2568,"Rascal,Cuzz,Aria,Aiming,Life,","Hoya,Canyon,ShowMaker,deokdam,Kellin,"
8,91322,KT Rolster  vs DWG KIA ,KT Rolster vs DWG KIA 1,2,LCK,LCK Spring 2022,KT Rolster ,DWG KIA ,2022-01-13,1,red,11,17,28,2,9,11,2,0,2,0,1,1,40.8,49.2,90.0,red,212,red,641,red,212,red,527,red,1248,1450,"Rascal,Cuzz,Aria,Aiming,Life,","Hoya,Canyon,ShowMaker,deokdam,Kellin,"
9,101322,DRX  vs Gen.G eSports ,GEN vs DRX 1,1,LCK,LCK Spring 2022,DRX ,Gen.G eSports ,2022-01-14,1,red,2,17,19,4,9,13,0,0,0,0,1,1,45.1,58.5,103.6,blue,192,blue,935,red,192,red,512,red,1545,1777,"kingen,Pyosik,Zeka,Deft,BeryL,","Doran,Peanut,Chovy,Ruler,Lehends,"
10,111322,Gen.G eSports  vs DRX ,GEN vs DRX 1,2,LCK,LCK Spring 2022,Gen.G eSports ,DRX ,2022-01-14,1,blue,23,9,32,11,0,11,2,0,2,1,0,1,57.2,40.0,97.2,blue,165,blue,649,red,165,blue,509,blue,1281,1556,"Doran,Peanut,Chovy,Ruler,Lehends,","kingen,Pyosik,Zeka,Deft,BeryL,"
11,121322,Fredit BRION  vs T1 ,BRO vs T1 1,1,LCK,LCK Spring 2022,Fredit BRION ,T1 ,2022-01-14,1,blue,17,11,28,8,5,13,4,0,4,1,1,2,76.3,74.2,150.5,red,242,red,744,blue,242,blue,529,blue,1631,2568,"Morgan,UmTi,Lava,Hena,Delight,","Zeus,Oner,Faker,Gumayusi,Keria,"
12,131322,T1  vs Fredit BRION ,BRO vs T1 1,2,LCK,LCK Spring 2022,T1 ,Fredit BRION ,2022-01-14,1,blue,21,13,34,10,8,18,5,0,5,1,2,3,86.9,80.0,166.9,blue,480,blue,595,red,392,blue,563,red,1745,2755,"Zeus,Oner,Faker,Gumayusi,Keria,","Morgan,UmTi,Lava,Hena,Delight,"
13,141322,Fredit BRION  vs T1 ,BRO vs T1 1,3,LCK,LCK Spring 2022,Fredit BRION ,T1 ,2022-01-14,1,red,4,18,22,2,11,13,1,0,1,0,2,2,64.7,78.7,143.4,red,169,red,996,red,169,red,607,red,2021,2487,"Morgan,UmTi,Lava,Hena,Delight,","Zeus,Oner,Faker,Gumayusi,Keria,"
14,151322,Nongshim RedForce  vs Liiv SANDBOX ,NS vs LSB 1,1,LCK,LCK Spring 2022,Nongshim RedForce ,Liiv SANDBOX ,2022-01-15,1,blue,13,6,19,11,2,13,2,0,2,1,0,1,59.5,49.3,108.8,blue,282,blue,1221,red,282,red,555,blue,1486,1838,"Canna,Dread,Bdd,Ghost,Peter,","Dove,Croco,Clozer,Envyy,Kael,"
15,161322,Nongshim RedForce  vs Liiv SANDBOX ,NS vs LSB 1,2,LCK,LCK Spring 2022,Nongshim RedForce ,Liiv SANDBOX ,2022-01-15,1,blue,13,5,18,11,2,13,3,0,3,1,0,1,52.5,41.5,94.0,blue,326,blue,569,blue,326,blue,506,blue,1436,1568,"Canna,Dread,Bdd,Ghost,Peter,","Dove,Croco,Clozer,Envyy,Kael,"
