,ID,Game Name,Match Name,Num in Match,Region,Tournament,Blue Team Name,Red Team Name,Date,Week,Winner,Blue kills,Red kills,Total kills,Blue towers,Red towers,Total towers,Blue dragons,Red dragons,Total dragons,Blue barons,Red barons,Total barons,Blue gold,Red gold,Total gold,First blood team,First blood time,First tower team,First tower time,First dragon team,First dragon time,First rift herald team,First rift herald time,First baron team,First baron time,Game time,Blue players,Red players
0,12322,DWG KIA  vs Fredit BRION ,DWG KIA vs BRO 0,1,LCK,LCK Spring Playoffs 2022,DWG KIA ,Fredit BRION ,2022-03-23,0,blue,18,7,25,10,2,12,4,0,4,2,0,2,75.2,62.3,137.5,red,726,red,960,blue,361,blue,542,blue,1812,2394,"Burdol,Canyon,ShowMaker,deokdam,Kellin,","Morgan,UmTi,Lava,Hena,Delight,"
1,22322,Fredit BRION  vs DWG KIA ,DWG KIA vs BRO 0,2,LCK,LCK Spring Playoffs 2022,Fredit BRION ,DWG KIA ,2022-03-23,0,red,8,24,32,1,10,11,2,0,2,0,2,2,50.8,67.0,117.8,blue,214,red,856,blue,214,blue,516,red,1347,1955,"Morgan,UmTi,Lava,Hena,Delight,","Burdol,Canyon,ShowMaker,deokdam,Kellin,"
2,32322,DWG KIA  vs Fredit BRION ,DWG KIA vs BRO 0,3,LCK,LCK Spring Playoffs 2022,DWG KIA ,Fredit BRION ,2022-03-23,0,blue,22,5,27,11,2,13,2,0,2,1,0,1,58.3,45.2,103.5,blue,219,blue,689,red,219,blue,511,blue,1289,1615,"Burdol,Canyon,ShowMaker,deokdam,Kellin,","Morgan,UmTi,Lava,Hena,Delight,"
3,42322,DRX  vs Kwangdong Freecs ,DRX vs KDF 0,1,LCK,LCK Spring Playoffs 2022,DRX ,Kwangdong Freecs ,2022-03-24,0,red,6,21,27,5,11,16,2,0,2,0,2,2,63.4,71.4,134.8,blue,516,blue,804,blue,358,blue,550,red,1427,2247,"kingen,Pyosik,Zeka,Deft,BeryL,","Kiin,Ellim,FATE,Teddy,Hoit,"
4,52322,DRX  vs Kwangdong Freecs ,DRX vs KDF 0,2,LCK,LCK Spring Playoffs 2022,DRX ,Kwangdong Freecs ,2022-03-24,0,blue,18,16,34,9,2,11,3,0,3,0,0,0,72.7,64.0,136.7,blue,523,blue,1093,red,384,blue,607,none,0,2417,"kingen,Pyosik,Zeka,Deft,BeryL,","Kiin,Ellim,FATE,Teddy,Hoit,"
5,62322,Kwangdong Freecs  vs DRX ,DRX vs KDF 0,3,LCK,LCK Spring Playoffs 2022,Kwangdong Freecs ,DRX ,2022-03-24,0,blue,13,4,17,9,4,13,3,0,3,1,0,1,62.6,55.4,118.0,blue,388,blue,781,red,382,red,596,blue,1794,2110,"Kiin,Ellim,FATE,Teddy,Hoit,","kingen,Pyosik,Zeka,Deft,BeryL,"
6,72322,DRX  vs Kwangdong Freecs ,DRX vs KDF 0,4,LCK,LCK Spring Playoffs 2022,DRX ,Kwangdong Freecs ,2022-03-24,0,blue,19,10,29,10,1,11,3,0,3,2,0,2,59.5,47.0,106.5,blue,239,blue,1023,red,239,red,556,blue,1273,1834,"kingen,Pyosik,Zeka,Deft,BeryL,","Kiin,Ellim,FATE,Teddy,Hoit,"
7,82322,Kwangdong Freecs  vs DRX ,DRX vs KDF 0,5,LCK,LCK Spring Playoffs 2022,Kwangdong Freecs ,DRX ,2022-03-24,0,blue,16,7,23,9,7,16,4,0,4,0,1,1,67.5,62.9,130.4,blue,690,blue,829,red,531,red,531,red,1824,2402,"Kiin,Ellim,FATE,Teddy,Hoit,","kingen,Pyosik,Zeka,Deft,BeryL,"
8,92322,T1  vs Kwangdong Freecs ,T1 vs KDF 0,1,LCK,LCK Spring Playoffs 2022,T1 ,Kwangdong Freecs ,2022-03-26,0,blue,13,3,16,8,1,9,2,0,2,1,0,1,51.2,39.1,90.30000000000001,blue,164,blue,773,blue,164,blue,528,blue,1436,1577,"Zeus,Oner,Faker,Gumayusi,Keria,","Kiin,Ellim,FATE,Teddy,Hoit,"
9,102322,Kwangdong Freecs  vs T1 ,T1 vs KDF 0,2,LCK,LCK Spring Playoffs 2022,Kwangdong Freecs ,T1 ,2022-03-26,0,red,4,19,23,1,9,10,0,0,0,0,0,0,31.2,44.6,75.8,blue,356,red,841,blue,356,red,506,none,0,1216,"Kiin,Ellim,FATE,Teddy,Hoit,","Zeus,Oner,Faker,Gumayusi,Keria,"
10,112322,Kwangdong Freecs  vs T1 ,T1 vs KDF 0,3,LCK,LCK Spring Playoffs 2022,Kwangdong Freecs ,T1 ,2022-03-26,0,red,11,20,31,2,10,12,2,0,2,0,1,1,51.5,65.1,116.6,red,217,red,699,red,217,red,559,red,1568,1918,"Kiin,Ellim,FATE,Teddy,Hoit,","Zeus,Oner,Faker,Gumayusi,Keria,"
11,122322,Gen.G eSports  vs DWG KIA ,GEN vs DWG KIA 0,1,LCK,LCK Spring Playoffs 2022,Gen.G eSports ,DWG KIA ,2022-03-27,0,red,10,10,20,5,9,14,4,0,4,0,2,2,67.1,72.1,139.2,blue,128,blue,930,red,128,blue,522,red,1465,2300,"Doran,Peanut,Chovy,Ruler,Lehends,","Burdol,Canyon,ShowMaker,deokdam,Kellin,"
12,132322,DWG KIA  vs Gen.G eSports ,GEN vs DWG KIA 0,2,LCK,LCK Spring Playoffs 2022,DWG KIA ,Gen.G eSports ,2022-03-27,0,red,8,19,27,3,10,13,4,0,4,0,1,1,57.9,69.5,127.4,blue,235,blue,808,blue,235,blue,577,red,1980,2247,"Burdol,Canyon,ShowMaker,deokdam,Kellin,","Doran,Peanut,Chovy,Ruler,Lehends,"
13,142322,Gen.G eSports  vs DWG KIA ,GEN vs DWG KIA 0,3,LCK,LCK Spring Playoffs 2022,Gen.G eSports ,DWG KIA ,2022-03-27,0,red,7,16,23,2,8,10,3,0,3,0,1,1,56.2,63.0,119.2,blue,246,blue,891,red,246,red,686,red,1747,2120,"Doran,Peanut,Chovy,Ruler,Lehends,","Hoya,Canyon,ShowMaker,deokdam,Kellin,"
14,152322,Gen.G eSports  vs DWG KIA ,GEN vs DWG KIA 0,4,LCK,LCK Spring Playoffs 2022,Gen.G eSports ,DWG KIA ,2022-03-27,0,blue,19,9,28,11,6,17,4,0,4,1,0,1,66.9,56.4,123.30000000000001,blue,317,red,863,blue,317,blue,505,blue,1845,1983,"Doran,Peanut,Chovy,Ruler,Lehends,","Hoya,Canyon,ShowMaker,deokdam,Kellin,"
15,162322,DWG KIA  vs Gen.G eSports ,GEN vs DWG KIA 0,5,LCK,LCK Spring Playoffs 2022,DWG KIA ,Gen.G eSports ,2022-03-27,0,red,12,15,27,8,7,15,3,0,3,1,1,2,60.9,62.4,123.3,blue,303,blue,654,blue,303,blue,568,blue,1418,2046,"Hoya,Canyon,ShowMaker,deokdam,Kellin,","Doran,Peanut,Chovy,Ruler,Lehends,"
16,172322,Gen.G eSports  vs T1 ,T1 vs GEN 0,1,LCK,LCK Spring Playoffs 2022,Gen.G eSports ,T1 ,2022-04-02,0,red,8,15,23,1,8,9,2,0,2,1,0,1,49.5,56.5,106.0,blue,140,blue,946,red,140,blue,523,blue,1468,1809,"Doran,Peanut,Chovy,Ruler,Lehends,","Zeus,Oner,Faker,Gumayusi,Keria,"
17,182322,Gen.G eSports  vs T1 ,T1 vs GEN 0,2,LCK,LCK Spring Playoffs 2022,Gen.G eSports ,T1 ,2022-04-02,0,blue,29,17,46,7,4,11,4,0,4,1,1,2,68.0,64.1,132.1,red,421,red,983,red,421,red,544,red,1379,2138,"Doran,Peanut,Chovy,Ruler,Lehends,","Zeus,Oner,Faker,Gumayusi,Keria,"
18,192322,T1  vs Gen.G eSports ,T1 vs GEN 0,3,LCK,LCK Spring Playoffs 2022,T1 ,Gen.G eSports ,2022-04-02,0,blue,15,3,18,10,3,13,2,0,2,1,1,2,69.4,59.5,128.9,blue,291,blue,723,blue,291,blue,546,blue,1323,2247,"Zeus,Oner,Faker,Gumayusi,Keria,","Doran,Peanut,Chovy,Ruler,Lehends,"
19,202322,Gen.G eSports  vs T1 ,T1 vs GEN 0,4,LCK,LCK Spring Playoffs 2022,Gen.G eSports ,T1 ,2022-04-02,0,red,4,21,25,2,10,12,2,0,2,0,1,1,43.0,56.2,99.2,red,213,red,724,red,213,red,526,red,1277,1675,"Doran,Peanut,Chovy,Ruler,Lehends,","Zeus,Oner,Faker,Gumayusi,Keria,"
