,ID,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
0,11222,Evil Geniuses  vs TSM ,TSM vs EG 1,1,LCS,LCS Spring 2022,Evil Geniuses ,TSM ,2022-02-05,1,blue,13,7,20,9,4,13,4,0,4,1,0,1,65.3,56.2,121.5,blue,278,blue,862,red,278,red,552,blue,1785,2030,"Impact,Inspired,jojopyun,Danny,Vulcan,","Huni,Spica,Keaiduo,Tactical,Shenyi,"
1,21222,CLG  vs FlyQuest ,FlyQuest vs CLG 1,1,LCS,LCS Spring 2022,CLG ,FlyQuest ,2022-02-05,1,red,13,22,35,8,11,19,4,0,4,1,2,3,87.9,85.9,173.8,blue,191,blue,658,red,191,red,505,blue,1887,2935,"Jenkins,Contractz,Palafox,Luger,Poome,","Kumo,Josedeodo,Toucouille,Johnsun,Aphromoo,"
2,31222,Team Liquid  vs 100 Thieves ,Team Liquid vs 100 Thieves 1,1,LCS,LCS Spring 2022,Team Liquid ,100 Thieves ,2022-02-05,1,red,3,13,16,4,7,11,2,0,2,0,2,2,67.8,74.0,141.8,blue,724,blue,870,blue,542,blue,542,red,1883,2412,"Bwipo,Santorin,Bjergsen,Hans sama,Eyla,","ssumday,Closer,Abbedagge,FBI,Huhi,"
3,41222,Golden Guardians  vs Cloud9 ,GG vs Cloud9 1,1,LCS,LCS Spring 2022,Golden Guardians ,Cloud9 ,2022-02-05,1,red,4,10,14,2,7,9,0,0,0,0,1,1,42.5,48.1,90.6,blue,490,blue,947,red,390,blue,519,red,1428,1564,"Licorice,Pridestalkr,Ablazeolive,Lost,Olleh,","Summit,Blaber,Fudge,Berserker,Winsome,"
4,51222,Dignitas  vs Immortals ,Immortals vs Dignitas 1,1,LCS,LCS Spring 2022,Dignitas ,Immortals ,2022-02-05,1,blue,17,3,20,11,1,12,3,0,3,1,0,1,58.4,46.7,105.1,blue,425,blue,896,blue,425,red,692,blue,1326,1888,"FakeGod,River,Blue,Neo,Biofrost,","Revenge,Xerxe,PowerOfEvil,WildTurtle,Destiny,"
5,61222,100 Thieves  vs CLG ,CLG vs 100 Thieves 1,1,LCS,LCS Spring 2022,100 Thieves ,CLG ,2022-02-06,1,blue,25,6,31,9,1,10,4,0,4,2,0,2,65.8,48.6,114.4,blue,619,blue,1037,blue,400,blue,504,blue,1444,1889,"ssumday,Closer,Abbedagge,FBI,Huhi,","Jenkins,Contractz,Palafox,Luger,Poome,"
6,71222,TSM  vs Dignitas ,TSM vs Dignitas 1,1,LCS,LCS Spring 2022,TSM ,Dignitas ,2022-02-06,1,red,6,15,21,6,8,14,2,0,2,0,1,1,64.2,70.3,134.5,red,380,red,865,red,380,blue,508,red,2166,2274,"Huni,Spica,Keaiduo,Tactical,Shenyi,","FakeGod,River,Blue,Neo,Biofrost,"
7,81222,Cloud9  vs Evil Geniuses ,EG vs Cloud9 1,1,LCS,LCS Spring 2022,Cloud9 ,Evil Geniuses ,2022-02-06,1,blue,17,11,28,9,2,11,4,0,4,1,1,2,73.3,67.0,140.3,blue,194,blue,886,red,194,blue,620,red,1372,2326,"Summit,Blaber,Fudge,Berserker,Winsome,","Impact,Inspired,jojopyun,Danny,Vulcan,"
8,91222,FlyQuest  vs Golden Guardians ,GG vs FlyQuest 1,1,LCS,LCS Spring 2022,FlyQuest ,Golden Guardians ,2022-02-06,1,blue,14,8,22,7,6,13,3,0,3,1,1,2,60.1,59.2,119.3,blue,449,red,483,blue,410,blue,552,red,1576,2048,"Kumo,Josedeodo,Toucouille,Johnsun,Aphromoo,","Licorice,Pridestalkr,Ablazeolive,Lost,Olleh,"
9,101222,Immortals  vs Team Liquid ,Immortals vs Team Liquid 1,1,LCS,LCS Spring 2022,Immortals ,Team Liquid ,2022-02-06,1,red,6,20,26,2,10,12,1,0,1,0,1,1,46.6,60.8,107.4,red,287,red,734,red,287,blue,584,red,1625,1745,"Revenge,Xerxe,PowerOfEvil,WildTurtle,Destiny,","Bwipo,Santorin,Bjergsen,Hans sama,Eyla,"
