,ID,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
0,12222,Cloud9  vs 100 Thieves ,Cloud9 vs 100 Thieves 0,1,LCS,LCS Spring Playoffs 2022,Cloud9 ,100 Thieves ,2022-04-02,0,red,3,15,18,2,7,9,0,0,0,0,1,1,43.5,51.2,94.7,blue,45,blue,957,red,45,blue,504,red,1434,1576,"Summit,Blaber,Fudge,Berserker,Winsome,","ssumday,Closer,Abbedagge,FBI,Huhi,"
1,22222,Cloud9  vs 100 Thieves ,Cloud9 vs 100 Thieves 0,2,LCS,LCS Spring Playoffs 2022,Cloud9 ,100 Thieves ,2022-04-02,0,red,14,15,29,8,10,18,3,0,3,0,2,2,63.6,67.6,131.2,blue,325,red,918,blue,325,blue,539,red,1548,2096,"Summit,Blaber,Fudge,Berserker,Winsome,","ssumday,Closer,Abbedagge,FBI,Huhi,"
2,32222,100 Thieves  vs Cloud9 ,Cloud9 vs 100 Thieves 0,3,LCS,LCS Spring Playoffs 2022,100 Thieves ,Cloud9 ,2022-04-02,0,blue,22,10,32,11,4,15,4,0,4,2,0,2,65.3,59.9,125.2,red,160,red,869,red,160,red,539,blue,1453,2044,"ssumday,Closer,Abbedagge,FBI,Huhi,","Summit,Blaber,Fudge,Berserker,Winsome,"
3,42222,Evil Geniuses  vs Team Liquid ,Team Liquid vs EG 0,1,LCS,LCS Spring Playoffs 2022,Evil Geniuses ,Team Liquid ,2022-04-03,0,red,3,13,16,3,8,11,1,0,1,0,2,2,52.7,61.6,114.3,blue,283,red,896,blue,283,blue,545,red,1403,1962,"Impact,Inspired,jojopyun,Danny,Vulcan,","Bwipo,Santorin,Bjergsen,Hans sama,CoreJJ,"
4,52222,Team Liquid  vs Evil Geniuses ,Team Liquid vs EG 0,2,LCS,LCS Spring Playoffs 2022,Team Liquid ,Evil Geniuses ,2022-04-03,0,red,10,18,28,3,11,14,2,0,2,0,1,1,52.6,62.9,115.5,blue,145,red,992,blue,145,red,552,red,1695,1968,"Bwipo,Santorin,Bjergsen,Hans sama,CoreJJ,","Impact,Inspired,jojopyun,Danny,Vulcan,"
5,62222,Evil Geniuses  vs Team Liquid ,Team Liquid vs EG 0,3,LCS,LCS Spring Playoffs 2022,Evil Geniuses ,Team Liquid ,2022-04-03,0,red,9,17,26,3,7,10,1,0,1,0,1,1,45.7,54.0,99.7,blue,90,red,848,blue,90,red,561,red,1508,1657,"Impact,Inspired,jojopyun,Danny,Vulcan,","Bwipo,Santorin,Bjergsen,Hans sama,CoreJJ,"
6,72222,Team Liquid  vs Evil Geniuses ,Team Liquid vs EG 0,4,LCS,LCS Spring Playoffs 2022,Team Liquid ,Evil Geniuses ,2022-04-03,0,red,11,30,41,2,11,13,0,0,0,0,1,1,50.7,64.9,115.6,blue,48,red,757,blue,48,red,509,red,1386,1824,"Bwipo,Santorin,Bjergsen,Hans sama,CoreJJ,","Impact,Inspired,jojopyun,Danny,Vulcan,"
7,82222,Evil Geniuses  vs Team Liquid ,Team Liquid vs EG 0,5,LCS,LCS Spring Playoffs 2022,Evil Geniuses ,Team Liquid ,2022-04-03,0,red,10,22,32,3,9,12,1,0,1,0,1,1,53.3,60.7,114.0,red,210,red,867,red,210,blue,700,red,1527,1898,"Impact,Inspired,jojopyun,Danny,Vulcan,","Bwipo,Santorin,Bjergsen,Hans sama,CoreJJ,"
8,92222,Cloud9  vs Golden Guardians ,Cloud9 vs GG 0,1,LCS,LCS Spring Playoffs 2022,Cloud9 ,Golden Guardians ,2022-04-09,0,blue,21,8,29,10,0,10,3,0,3,1,0,1,59.7,46.2,105.9,blue,408,blue,891,blue,408,blue,608,blue,1327,1704,"Summit,Blaber,Fudge,Berserker,Isles,","Licorice,Pridestalkr,Ablazeolive,Lost,Olleh,"
9,102222,Cloud9  vs Golden Guardians ,Cloud9 vs GG 0,2,LCS,LCS Spring Playoffs 2022,Cloud9 ,Golden Guardians ,2022-04-09,0,blue,20,13,33,9,3,12,4,0,4,2,0,2,65.3,54.8,120.1,blue,535,red,655,blue,368,red,630,blue,1302,1998,"Summit,Blaber,Fudge,Berserker,Isles,","Licorice,Pridestalkr,Ablazeolive,Lost,Olleh,"
