,ID,Game Name,Match Name,Num in Match,Region,Tournament,Blue Team Name,Red Team Name,Date,Week,Winner,Blue kills,Red kills,Total kills,Blue towers,Red towers,Total towers,Blue dragons,Red dragons,Total dragons,Blue barons,Red barons,Total barons,Blue gold,Red gold,Total gold,First blood team,First blood time,First tower team,First tower time,First dragon team,First dragon time,First rift herald team,First rift herald time,First baron team,First baron time,Game time,Blue players,Red players
0,12122,Rogue  vs Misfits Gaming ,Rogue vs MSF 0,1,LEC,LEC Spring Playoffs 2022,Rogue ,Misfits Gaming ,2022-03-25,0,blue,27,9,36,9,3,12,3,0,3,2,0,2,76.0,61.7,137.7,red,191,red,933,red,191,blue,627,blue,1763,2279,"Odoamne,Malrang,Larssen,Comp,Trymbi,","HiRit,Shlatan,Vetheo,Neon,Mersa,"
1,22122,Misfits Gaming  vs Rogue ,Rogue vs MSF 0,2,LEC,LEC Spring Playoffs 2022,Misfits Gaming ,Rogue ,2022-03-25,0,red,6,19,25,3,11,14,0,0,0,0,2,2,50.3,62.5,112.8,blue,287,red,667,blue,287,red,526,red,1357,1870,"HiRit,Shlatan,Vetheo,Neon,Mersa,","Odoamne,Malrang,Larssen,Comp,Trymbi,"
2,32122,Misfits Gaming  vs Rogue ,Rogue vs MSF 0,3,LEC,LEC Spring Playoffs 2022,Misfits Gaming ,Rogue ,2022-03-25,0,blue,16,6,22,11,1,12,3,0,3,1,0,1,50.1,38.5,88.6,blue,426,blue,778,red,426,blue,706,blue,1246,1410,"HiRit,Shlatan,Vetheo,Neon,Mersa,","Odoamne,Malrang,Larssen,Comp,Trymbi,"
3,42122,Rogue  vs Misfits Gaming ,Rogue vs MSF 0,4,LEC,LEC Spring Playoffs 2022,Rogue ,Misfits Gaming ,2022-03-25,0,blue,20,4,24,10,1,11,1,0,1,0,0,0,47.9,34.1,82.0,blue,372,red,878,blue,372,red,632,none,0,1361,"Odoamne,Malrang,Larssen,Comp,Trymbi,","HiRit,Shlatan,Vetheo,Neon,Mersa,"
4,52122,Fnatic  vs G2 Esports ,Fnatic vs G2 Esports 0,1,LEC,LEC Spring Playoffs 2022,Fnatic ,G2 Esports ,2022-03-26,0,blue,20,8,28,9,1,10,3,0,3,1,0,1,53.0,42.2,95.2,blue,502,blue,897,blue,380,blue,498,blue,1241,1569,"Wunder,Razork,Humanoid,Upset,Hylissang,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
5,62122,G2 Esports  vs Fnatic ,Fnatic vs G2 Esports 0,2,LEC,LEC Spring Playoffs 2022,G2 Esports ,Fnatic ,2022-03-26,0,blue,20,4,24,11,3,14,4,0,4,1,0,1,64.0,52.7,116.7,blue,268,blue,685,blue,268,blue,517,blue,1741,2077,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Wunder,Razork,Humanoid,Upset,Hylissang,"
6,72122,Fnatic  vs G2 Esports ,Fnatic vs G2 Esports 0,3,LEC,LEC Spring Playoffs 2022,Fnatic ,G2 Esports ,2022-03-26,0,blue,21,12,33,11,1,12,4,0,4,1,0,1,69.0,55.4,124.4,blue,187,blue,676,blue,187,blue,625,blue,1877,2105,"Wunder,Razork,Humanoid,Upset,Hylissang,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
7,82122,G2 Esports  vs Fnatic ,Fnatic vs G2 Esports 0,4,LEC,LEC Spring Playoffs 2022,G2 Esports ,Fnatic ,2022-03-26,0,red,14,15,29,2,7,9,1,0,1,0,0,0,48.8,51.1,99.9,blue,241,blue,899,blue,241,red,498,none,0,1796,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Wunder,Razork,Humanoid,Upset,Hylissang,"
8,92122,Excel Esports  vs Team Vitality ,XL vs VIT 0,1,LEC,LEC Spring Playoffs 2022,Excel Esports ,Team Vitality ,2022-03-27,0,blue,20,7,27,11,5,16,4,0,4,2,0,2,71.1,62.4,133.5,blue,57,blue,862,blue,57,blue,546,blue,1588,2234,"Finn,Markoon,Nukeduck,Patrik,Mikyx,","Alphari,Selfmade,Perkz,Carzzy,Labrov,"
9,102122,Team Vitality  vs Excel Esports ,XL vs VIT 0,2,LEC,LEC Spring Playoffs 2022,Team Vitality ,Excel Esports ,2022-03-27,0,blue,20,8,28,8,5,13,4,0,4,1,0,1,60.9,53.6,114.5,red,297,red,896,red,297,blue,522,blue,1245,1866,"Alphari,Selfmade,Perkz,Carzzy,Labrov,","Finn,Markoon,Nukeduck,Patrik,Mikyx,"
