,ID,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
0,11122,MAD Lions  vs Team Vitality ,VIT vs MAD Lions 1,1,LEC,LEC Spring 2022,MAD Lions ,Team Vitality ,2022-01-14,1,blue,20,9,29,11,1,12,4,0,4,2,0,2,65.4,53.4,118.8,blue,230,blue,677,blue,230,blue,536,blue,1284,1926,"Armut,Elyoya,Reeker,UNF0RGIVEN,Kaiser,","Alphari,Selfmade,Perkz,Carzzy,Labrov,"
1,21122,Rogue  vs SK Gaming ,SK Gaming vs Rogue 1,1,LEC,LEC Spring 2022,Rogue ,SK Gaming ,2022-01-14,1,blue,15,8,23,9,1,10,2,0,2,1,0,1,52.8,43.4,96.2,blue,185,blue,621,red,185,blue,548,blue,1497,1655,"Odoamne,Malrang,Larssen,Comp,Trymbi,","JNX,Gilius,Sertuss,Jezu,Treatz,"
2,31122,Excel Esports  vs G2 Esports ,G2 Esports vs XL 1,1,LEC,LEC Spring 2022,Excel Esports ,G2 Esports ,2022-01-14,1,red,17,27,44,6,8,14,1,0,1,1,1,2,70.7,80.6,151.3,blue,304,red,857,blue,304,red,516,blue,1759,2512,"Finn,Markoon,Nukeduck,Patrik,Advienne,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
3,41122,Astralis  vs Misfits Gaming ,MSF vs Astralis 1,1,LEC,LEC Spring 2022,Astralis ,Misfits Gaming ,2022-01-14,1,red,13,14,27,3,10,13,3,0,3,1,2,3,69.6,77.5,147.1,blue,721,red,783,red,418,red,519,blue,1234,2463,"Whiteknight,Zanzarah,Dajor,Kobbe,Promisq,","HiRit,Shlatan,Vetheo,Neon,Mersa,"
4,51122,Fnatic  vs Team BDS ,Team BDS vs Fnatic 1,1,LEC,LEC Spring 2022,Fnatic ,Team BDS ,2022-01-14,1,blue,15,12,27,9,4,13,3,0,3,1,1,2,64.1,59.8,123.9,red,311,red,829,red,311,red,521,blue,1481,2085,"Wunder,Razork,Humanoid,Upset,Hylissang,","Adam,Cinkrof,Nuclearint,xmatty,Limit,"
5,61122,Excel Esports  vs Team BDS ,Team BDS vs XL 1,1,LEC,LEC Spring 2022,Excel Esports ,Team BDS ,2022-01-15,1,red,9,13,22,7,8,15,3,0,3,0,2,2,63.3,67.8,131.1,blue,325,blue,774,blue,325,blue,554,red,1647,2248,"Finn,Markoon,Nukeduck,Patrik,Advienne,","Adam,Cinkrof,Nuclearint,xmatty,Limit,"
6,71122,Rogue  vs Misfits Gaming ,Rogue vs MSF 1,1,LEC,LEC Spring 2022,Rogue ,Misfits Gaming ,2022-01-15,1,blue,16,8,24,9,3,12,2,0,2,1,1,2,63.3,56.1,119.4,blue,214,blue,953,red,214,red,511,blue,1401,2050,"Odoamne,Malrang,Larssen,Comp,Trymbi,","HiRit,Shlatan,Vetheo,Neon,Mersa,"
7,81122,SK Gaming  vs MAD Lions ,SK Gaming vs MAD Lions 1,1,LEC,LEC Spring 2022,SK Gaming ,MAD Lions ,2022-01-15,1,blue,29,24,53,9,8,17,5,0,5,2,2,4,99.2,102.3,201.5,blue,262,blue,948,red,262,blue,505,blue,1645,3293,"JNX,Gilius,Sertuss,Jezu,Treatz,","Armut,Elyoya,Reeker,UNF0RGIVEN,Kaiser,"
8,91122,G2 Esports  vs Astralis ,G2 Esports vs Astralis 1,1,LEC,LEC Spring 2022,G2 Esports ,Astralis ,2022-01-15,1,blue,14,13,27,11,1,12,4,0,4,2,0,2,67.3,55.2,122.5,blue,331,blue,742,blue,331,blue,535,blue,1339,2077,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Whiteknight,Zanzarah,Dajor,Kobbe,Promisq,"
9,101122,Team Vitality  vs Fnatic ,VIT vs Fnatic 1,1,LEC,LEC Spring 2022,Team Vitality ,Fnatic ,2022-01-15,1,red,12,16,28,4,8,12,1,0,1,0,1,1,58.3,59.0,117.3,blue,396,blue,602,red,374,blue,513,red,1570,2021,"Alphari,Selfmade,Perkz,Carzzy,Labrov,","Wunder,Razork,Humanoid,Upset,Hylissang,"
10,111122,Excel Esports  vs Team Vitality ,VIT vs XL 1,1,LEC,LEC Spring 2022,Excel Esports ,Team Vitality ,2022-01-16,1,blue,13,8,21,10,3,13,4,0,4,1,0,1,68.5,63.4,131.9,blue,363,blue,947,blue,363,red,503,blue,1924,2264,"Finn,Markoon,Nukeduck,Patrik,Advienne,","Alphari,Selfmade,Perkz,Carzzy,Labrov,"
11,121122,Team BDS  vs Misfits Gaming ,Team BDS vs MSF 1,1,LEC,LEC Spring 2022,Team BDS ,Misfits Gaming ,2022-01-16,1,red,9,15,24,0,10,10,2,0,2,0,1,1,46.5,59.2,105.7,blue,418,red,774,red,365,red,518,red,1406,1791,"Adam,Cinkrof,Nuclearint,xmatty,Limit,","HiRit,Shlatan,Vetheo,Neon,Mersa,"
12,131122,Rogue  vs Astralis ,Rogue vs Astralis 1,1,LEC,LEC Spring 2022,Rogue ,Astralis ,2022-01-16,1,blue,15,7,22,10,1,11,2,0,2,1,0,1,50.9,38.3,89.19999999999999,blue,207,blue,725,red,207,blue,513,blue,1305,1476,"Odoamne,Malrang,Larssen,Comp,Trymbi,","Whiteknight,Zanzarah,Dajor,Kobbe,Promisq,"
13,141122,SK Gaming  vs Fnatic ,SK Gaming vs Fnatic 1,1,LEC,LEC Spring 2022,SK Gaming ,Fnatic ,2022-01-16,1,red,8,13,21,3,9,12,2,0,2,0,1,1,53.8,64.7,118.5,red,49,red,811,red,49,blue,525,red,1548,2009,"JNX,Gilius,Sertuss,Jezu,Treatz,","Wunder,Razork,Humanoid,Upset,Hylissang,"
14,151122,MAD Lions  vs G2 Esports ,MAD Lions vs G2 Esports 1,1,LEC,LEC Spring 2022,MAD Lions ,G2 Esports ,2022-01-16,1,blue,12,4,16,11,2,13,2,0,2,1,0,1,54.3,41.9,96.2,blue,503,blue,736,blue,503,blue,542,blue,1303,1602,"Armut,Elyoya,Reeker,UNF0RGIVEN,Kaiser,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
