,ID,Game Name,Match Name,Num in Match,Region,Tournament,Blue Team Name,Red Team Name,Date,Week,Winner,Blue kills,Red kills,Total kills,Blue towers,Red towers,Total towers,Blue dragons,Red dragons,Total dragons,Blue barons,Red barons,Total barons,Blue gold,Red gold,Total gold,First blood team,First blood time,First tower team,First tower time,First dragon team,First dragon time,First rift herald team,First rift herald time,First baron team,First baron time,Game time,Blue players,Red players
0,12422,Bilibili Gaming  vs Rare Atom ,BLG vs Rare Atom 0,1,LPL,LPL Spring Playoffs 2022,Bilibili Gaming ,Rare Atom ,2022-03-26,0,red,5,18,23,5,9,14,0,0,0,0,1,1,46.1,56.9,103.0,red,0,,0,,0,,0,,0,1663,"Breathe,WeiWei,FoFo,Doggo,Crisp,","Cube,Leyan,Strive,iBOY,yuyanjia,"
1,22422,Bilibili Gaming  vs Rare Atom ,BLG vs Rare Atom 0,2,LPL,LPL Spring Playoffs 2022,Bilibili Gaming ,Rare Atom ,2022-03-26,0,blue,20,5,25,9,2,11,4,0,4,1,0,1,56.4,43.3,99.69999999999999,blue,0,,0,,0,,0,,0,1692,"Breathe,WeiWei,FoFo,Doggo,Crisp,","Cube,Leyan,Strive,iBOY,yuyanjia,"
2,32422,Bilibili Gaming  vs Rare Atom ,BLG vs Rare Atom 0,3,LPL,LPL Spring Playoffs 2022,Bilibili Gaming ,Rare Atom ,2022-03-26,0,blue,21,6,27,8,2,10,4,0,4,1,0,1,59.9,49.6,109.5,blue,0,,0,,0,,0,,0,1826,"Breathe,WeiWei,FoFo,Doggo,Crisp,","Cube,Leyan,Strive,iBOY,yuyanjia,"
3,42422,Rare Atom  vs Bilibili Gaming ,BLG vs Rare Atom 0,4,LPL,LPL Spring Playoffs 2022,Rare Atom ,Bilibili Gaming ,2022-03-26,0,red,12,20,32,3,8,11,0,0,0,0,1,1,50.0,58.6,108.6,blue,0,,0,,0,,0,,0,1832,"Cube,Leyan,Strive,iBOY,yuyanjia,","Breathe,WeiWei,FoFo,Doggo,Crisp,"
4,52422,Edward Gaming  vs Funplus Phoenix ,EDG vs FPX 0,1,LPL,LPL Spring Playoffs 2022,Edward Gaming ,Funplus Phoenix ,2022-03-27,0,blue,18,5,23,10,1,11,4,0,4,1,0,1,53.1,43.0,96.1,blue,0,,0,,0,,0,,0,1601,"Flandre,Jiejie,Scout,Viper,meiko,","Xiaolaohu,Clid,Care,Lwx,Hang,"
5,62422,Edward Gaming  vs Funplus Phoenix ,EDG vs FPX 0,2,LPL,LPL Spring Playoffs 2022,Edward Gaming ,Funplus Phoenix ,2022-03-27,0,red,10,21,31,2,11,13,1,0,1,1,2,3,73.2,79.5,152.7,red,0,,0,,0,,0,,0,2410,"Flandre,Jiejie,Scout,Viper,meiko,","Xiaolaohu,Clid,Care,Lwx,Hang,"
6,72422,Edward Gaming  vs Funplus Phoenix ,EDG vs FPX 0,3,LPL,LPL Spring Playoffs 2022,Edward Gaming ,Funplus Phoenix ,2022-03-27,0,blue,11,9,20,10,3,13,3,0,3,1,0,1,63.6,55.5,119.1,blue,0,,0,,0,,0,,0,2012,"Flandre,Jiejie,Scout,Viper,meiko,","Xiaolaohu,Clid,Care,Lwx,Hang,"
7,82422,Edward Gaming  vs Funplus Phoenix ,EDG vs FPX 0,4,LPL,LPL Spring Playoffs 2022,Edward Gaming ,Funplus Phoenix ,2022-03-27,0,blue,14,8,22,9,3,12,3,0,3,1,0,1,59.1,49.2,108.30000000000001,blue,0,,0,,0,,0,,0,1829,"Flandre,Jiejie,Scout,Viper,meiko,","Xiaolaohu,Clid,Care,Lwx,Hang,"
8,92422,Top Esports  vs Bilibili Gaming ,Top Esports vs BLG 0,1,LPL,LPL Spring Playoffs 2022,Top Esports ,Bilibili Gaming ,2022-03-28,0,red,2,10,12,3,10,13,0,0,0,0,1,1,49.5,60.9,110.4,red,0,,0,,0,,0,,0,1840,"Wayward,Tian,Knight,JackeyLove,Mark,","Breathe,WeiWei,FoFo,Doggo,Crisp,"
9,102422,Top Esports  vs Bilibili Gaming ,Top Esports vs BLG 0,2,LPL,LPL Spring Playoffs 2022,Top Esports ,Bilibili Gaming ,2022-03-28,0,blue,21,16,37,11,5,16,3,0,3,0,2,2,66.5,67.1,133.6,blue,0,,0,,0,,0,,0,2129,"Wayward,Tian,Knight,JackeyLove,Mark,","Breathe,WeiWei,FoFo,Doggo,Crisp,"
10,112422,Bilibili Gaming  vs Top Esports ,Top Esports vs BLG 0,3,LPL,LPL Spring Playoffs 2022,Bilibili Gaming ,Top Esports ,2022-03-28,0,red,5,21,26,2,10,12,0,0,0,0,1,1,45.6,59.5,105.1,blue,0,,0,,0,,0,,0,1728,"Breathe,WeiWei,FoFo,Doggo,Crisp,","Wayward,Tian,Knight,JackeyLove,Mark,"
11,122422,Bilibili Gaming  vs Top Esports ,Top Esports vs BLG 0,4,LPL,LPL Spring Playoffs 2022,Bilibili Gaming ,Top Esports ,2022-03-28,0,red,6,17,23,3,10,13,1,0,1,0,1,1,51.2,61.9,113.1,red,0,,0,,0,,0,,0,1859,"Breathe,WeiWei,FoFo,Doggo,Crisp,","Wayward,Tian,Knight,JackeyLove,Mark,"
12,132422,Weibo Gaming  vs Edward Gaming ,WBG vs EDG 0,1,LPL,LPL Spring Playoffs 2022,Weibo Gaming ,Edward Gaming ,2022-03-29,0,blue,18,7,25,10,4,14,4,0,4,3,0,3,75.4,61.4,136.8,blue,0,,0,,0,,0,,0,2376,"TheShy,SofM,Angel,huanfeng,ON,","Flandre,Jiejie,Scout,Viper,meiko,"
13,142422,Edward Gaming  vs Weibo Gaming ,WBG vs EDG 0,2,LPL,LPL Spring Playoffs 2022,Edward Gaming ,Weibo Gaming ,2022-03-29,0,red,12,13,25,3,11,14,3,0,3,0,3,3,70.9,77.2,148.10000000000002,blue,0,,0,,0,,0,,0,2566,"Flandre,Jiejie,Scout,Viper,meiko,","TheShy,SofM,Angel,huanfeng,ON,"
14,152422,Edward Gaming  vs Weibo Gaming ,WBG vs EDG 0,3,LPL,LPL Spring Playoffs 2022,Edward Gaming ,Weibo Gaming ,2022-03-29,0,blue,23,15,38,11,6,17,4,0,4,3,0,3,80.0,71.7,151.7,blue,0,,0,,0,,0,,0,2428,"Flandre,Jiejie,Scout,Viper,meiko,","TheShy,SofM,Angel,huanfeng,ON,"
15,162422,Weibo Gaming  vs Edward Gaming ,WBG vs EDG 0,4,LPL,LPL Spring Playoffs 2022,Weibo Gaming ,Edward Gaming ,2022-03-29,0,blue,26,19,45,8,5,13,2,0,2,2,0,2,70.2,63.3,133.5,red,0,,0,,0,,0,,0,2211,"TheShy,SofM,Angel,huanfeng,ON,","Flandre,Jiejie,Scout,Viper,meiko,"
16,172422,LNG Esports  vs Top Esports ,LNG Esports vs Top Esports 0,1,LPL,LPL Spring Playoffs 2022,LNG Esports ,Top Esports ,2022-03-30,0,red,15,17,32,5,7,12,4,0,4,0,2,2,60.1,63.7,123.80000000000001,red,0,,0,,0,,0,,0,2010,"Ale,Tarzan,Doinb,Light,Iwandy,","Wayward,Tian,Knight,JackeyLove,Mark,"
