,ID,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
0,11422,OMG  vs TT ,OMG vs TT 1,1,LPL,LPL Spring 2022,OMG ,TT ,2022-01-10,1,blue,13,6,19,8,3,11,2,0,2,1,0,1,45.5,38.5,84.0,blue,0,,0,,0,,0,,0,1365,"shanji,AKi,Creme,Able,cold,","New,frigid,Captain,Puff,Southwind,"
1,21422,OMG  vs TT ,OMG vs TT 1,2,LPL,LPL Spring 2022,OMG ,TT ,2022-01-10,1,blue,22,8,30,9,2,11,2,0,2,1,0,1,54.3,41.2,95.5,blue,0,,0,,0,,0,,0,1444,"shanji,AKi,Creme,Able,cold,","New,frigid,Captain,Puff,Southwind,"
2,31422,Funplus Phoenix  vs Royal Never Give Up ,FPX vs RNG 1,1,LPL,LPL Spring 2022,Funplus Phoenix ,Royal Never Give Up ,2022-01-10,1,blue,12,8,20,10,3,13,4,0,4,2,0,2,64.0,53.2,117.2,blue,0,,0,,0,,0,,0,1893,"Xiaolaohu,Beichuan,Gori,Lwx,Hang,","Bin,Wei,xiaohu,GALA,Ming,"
3,41422,Funplus Phoenix  vs Royal Never Give Up ,FPX vs RNG 1,2,LPL,LPL Spring 2022,Funplus Phoenix ,Royal Never Give Up ,2022-01-10,1,red,3,16,19,6,11,17,0,0,0,1,1,2,66.3,72.2,138.5,red,0,,0,,0,,0,,0,2271,"Xiaolaohu,Beichuan,Gori,Lwx,Hang,","Bin,Wei,xiaohu,GALA,Ming,"
4,51422,Royal Never Give Up  vs Funplus Phoenix ,FPX vs RNG 1,3,LPL,LPL Spring 2022,Royal Never Give Up ,Funplus Phoenix ,2022-01-10,1,red,13,14,27,4,8,12,0,0,0,0,2,2,54.1,60.0,114.1,blue,0,,0,,0,,0,,0,1900,"Bin,Wei,xiaohu,GALA,Ming,","Xiaolaohu,Beichuan,Gori,Lwx,Hang,"
5,61422,JD Gaming  vs Edward Gaming ,JD Gaming vs EDG 1,1,LPL,LPL Spring 2022,JD Gaming ,Edward Gaming ,2022-01-11,1,red,9,29,38,3,9,12,0,0,0,0,1,1,44.3,54.8,99.1,red,0,,0,,0,,0,,0,1531,"369,Kanavi,Yagao,Lpc,Missing,","Flandre,Jiejie,Scout,Viper,meiko,"
6,71422,JD Gaming  vs Edward Gaming ,JD Gaming vs EDG 1,2,LPL,LPL Spring 2022,JD Gaming ,Edward Gaming ,2022-01-11,1,red,13,22,35,2,10,12,3,0,3,0,2,2,55.2,65.8,121.0,blue,0,,0,,0,,0,,0,1960,"369,Kanavi,Yagao,Lpc,Missing,","Flandre,Jiejie,Scout,Viper,meiko,"
7,81422,LGD Gaming  vs Anyone s Legend ,LGD Gaming vs AL 1,1,LPL,LPL Spring 2022,LGD Gaming ,Anyone s Legend ,2022-01-11,1,blue,31,14,45,10,3,13,4,0,4,1,1,2,72.6,61.8,134.39999999999998,blue,0,,0,,0,,0,,0,2138,"fearness,Shad0w,YeG,Eric,jinjiao,","Zdz,Xiaohao,Forge,Betty,Qiuqiu,"
8,91422,Anyone s Legend  vs LGD Gaming ,LGD Gaming vs AL 1,2,LPL,LPL Spring 2022,Anyone s Legend ,LGD Gaming ,2022-01-11,1,blue,15,5,20,8,2,10,2,0,2,1,0,1,54.4,44.8,99.2,blue,0,,0,,0,,0,,0,1712,"Zdz,Xiaohao,Forge,Betty,Qiuqiu,","fearness,Shad0w,YeG,Eric,jinjiao,"
9,101422,LGD Gaming  vs Anyone s Legend ,LGD Gaming vs AL 1,3,LPL,LPL Spring 2022,LGD Gaming ,Anyone s Legend ,2022-01-11,1,red,8,18,26,4,7,11,0,0,0,0,1,1,52.3,59.3,111.6,blue,0,,0,,0,,0,,0,1846,"fearness,Shad0w,YeG,Eric,jinjiao,","Zdz,Xiaohao,Forge,Betty,Qiuqiu,"
10,111422,Rare Atom  vs Top Esports ,Rare Atom vs Top Esports 1,1,LPL,LPL Spring 2022,Rare Atom ,Top Esports ,2022-01-12,1,blue,14,8,22,9,4,13,3,0,3,2,0,2,66.8,56.7,123.5,red,0,,0,,0,,0,,0,2046,"Cube,Leyan,Strive,iBOY,Zorah,","Zoom,Tian,Knight,JackeyLove,Zhuo,"
