,ID,Unnamed:_0,Game_Name,Match_Name,Num_in_Match,Region,Tournament,Blue_Team_Name,Red_Team_Name,Date,Week,Winner,Blue_kills,Red_kills,Total_kills,Blue_towers,Red_towers,Total_towers,Blue_dragons,Red_dragons,Total_dragons,Blue_barons,Red_barons,Total_barons,Blue_gold,Red_gold,Total_gold,First_blood_team,First_blood_time,First_tower_team,First_tower_time,First_dragon_team,First_dragon_time,First_rift_herald_team,First_rift_herald_time,First_baron_team,First_baron_time,Game_time,Blue_players,Red_players
0,1502022,0,T1  vs Saigon Buffalo ,T1 vs SGB 0,1,MSI,MSI 2022,T1 ,Saigon Buffalo ,2022-05-10,0,blue,23,11,34,10,1,11,2,0,2,1,0,1,55.8,44.5,100.3,red,98,red,812,red,98,blue,563,blue,1255,1563,"Zeus,Oner,Faker,Gumayusi,Keria,","Hasmed,BeanJ,Froggy,Shogun,Taki,"
1,2502022,1,Team Aze  vs Detonation FocusMe ,Team Aze vs DFM 0,1,MSI,MSI 2022,Team Aze ,Detonation FocusMe ,2022-05-10,0,red,2,14,16,2,8,10,2,0,2,0,1,1,40.0,50.5,90.5,red,259,red,760,red,259,red,536,red,1403,1594,"Lonely,Dimitry,Aloned,5Kid,Straight,","Evi,Steal,Yaharong,Yutapon,Harp,"
2,3502022,2,ORDER  vs G2 Esports ,ORDER vs G2 Esports 0,1,MSI,MSI 2022,ORDER ,G2 Esports ,2022-05-10,0,red,9,15,24,3,9,12,0,0,0,0,1,1,43.3,52.5,95.8,red,343,red,704,red,343,red,508,red,1244,1574,"BioPanther,Kevy,Kisee,Puma,Corporal,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
3,4502022,3,Evil Geniuses  vs G2 Esports ,EG vs G2 Esports 0,1,MSI,MSI 2022,Evil Geniuses ,G2 Esports ,2022-05-10,0,red,5,13,18,5,11,16,1,0,1,0,2,2,51.3,64.3,115.6,red,321,red,929,red,321,red,602,red,1321,1892,"Impact,Inspired,jojopyun,Danny,Vulcan,","Brokenblade,Jankos,Caps,Flakked,Targamas,"
4,5502022,4,RED Canids  vs PSG Talon ,RED Canids vs PSG Talon 0,1,MSI,MSI 2022,RED Canids ,PSG Talon ,2022-05-10,0,blue,13,0,13,9,2,11,2,0,2,1,0,1,54.6,42.3,96.9,blue,313,red,814,blue,313,blue,519,blue,1519,1681,"Guigo,Aegis,Grevthar,Titan,JoJo,","Hanabi,Juhan,Bay,Unified,Kaiwing,"
5,6502022,5,G2 Esports  vs Evil Geniuses ,G2 Esports vs EG 0,1,MSI,MSI 2022,G2 Esports ,Evil Geniuses ,2022-05-11,0,blue,24,14,38,9,9,18,4,0,4,0,2,2,77.9,70.4,148.3,blue,141,blue,808,blue,141,blue,501,red,1656,2305,"Brokenblade,Jankos,Caps,Flakked,Targamas,","Impact,Inspired,jojopyun,Danny,Vulcan,"
6,7502022,6,Evil Geniuses  vs ORDER ,EG vs ORDER 0,1,MSI,MSI 2022,Evil Geniuses ,ORDER ,2022-05-11,0,blue,22,5,27,10,2,12,3,0,3,1,0,1,71.7,58.9,130.6,blue,404,blue,692,blue,404,blue,523,blue,2120,2287,"Impact,Inspired,jojopyun,Danny,Vulcan,","BioPanther,Kevy,Kisee,Puma,Corporal,"
7,8502022,7,Detonation FocusMe  vs Saigon Buffalo ,DFM vs SGB 0,1,MSI,MSI 2022,Detonation FocusMe ,Saigon Buffalo ,2022-05-11,0,red,17,17,34,3,10,13,2,0,2,0,3,3,65.0,68.4,133.4,blue,258,red,603,blue,258,blue,602,red,1295,2148,"Evi,Steal,Yaharong,Yutapon,Harp,","Hasmed,BeanJ,Froggy,Shogun,Taki,"
8,9502022,8,Team Aze  vs T1 ,Team Aze vs T1 0,1,MSI,MSI 2022,Team Aze ,T1 ,2022-05-11,0,red,4,25,29,0,11,11,0,0,0,0,0,0,30.6,48.1,78.7,red,215,red,672,red,215,red,527,none,0,1244,"Lonely,Dimitry,Aloned,5Kid,Straight,","Zeus,Oner,Faker,Keria,Gumayusi,"
9,10502022,9,Istanbul Wildcats  vs RED Canids ,IW vs RED Canids 0,1,MSI,MSI 2022,Istanbul Wildcats ,RED Canids ,2022-05-11,0,blue,12,15,27,7,4,11,3,0,3,0,0,0,52.4,49.2,101.6,blue,339,blue,929,red,339,blue,504,none,0,1701,"StarScreen,Ferret,Serin,Holyphoenix,Farfetch,","Guigo,Aegis,Grevthar,Titan,JoJo,"
10,11502022,10,ORDER  vs Evil Geniuses ,ORDER vs EG 0,1,MSI,MSI 2022,ORDER ,Evil Geniuses ,2022-05-12,0,red,6,18,24,0,9,9,2,0,2,0,1,1,38.5,51.7,90.2,red,219,red,927,red,219,blue,758,red,1286,1470,"BioPanther,Kevy,Kisee,Puma,Corporal,","Impact,Inspired,jojopyun,Danny,Vulcan,"
11,12502022,11,G2 Esports  vs ORDER ,G2 Esports vs ORDER 0,1,MSI,MSI 2022,G2 Esports ,ORDER ,2022-05-12,0,blue,18,7,25,10,2,12,2,0,2,1,0,1,51.9,39.8,91.7,blue,176,blue,741,blue,176,blue,686,blue,1358,1471,"Brokenblade,Jankos,Caps,Flakked,Targamas,","BioPanther,Kevy,Kisee,Puma,Corporal,"
12,13502022,12,PSG Talon  vs Istanbul Wildcats ,PSG Talon vs IW 0,1,MSI,MSI 2022,PSG Talon ,Istanbul Wildcats ,2022-05-12,0,blue,19,4,23,7,3,10,2,0,2,1,0,1,46.8,37.0,83.8,red,181,red,708,red,181,red,533,blue,1282,1403,"Hanabi,Juhan,Bay,Unified,Kaiwing,","StarScreen,Ferret,Serin,Holyphoenix,Farfetch,"
13,14502022,13,Saigon Buffalo  vs Team Aze ,SGB vs Team Aze 0,1,MSI,MSI 2022,Saigon Buffalo ,Team Aze ,2022-05-12,0,blue,20,7,27,10,0,10,2,0,2,0,0,0,46.8,32.4,79.19999999999999,blue,149,blue,701,red,149,blue,572,none,0,1239,"Hasmed,BeanJ,Froggy,Shogun,Taki,","Lonely,Dimitry,Aloned,5Kid,Straight,"
14,15502022,14,T1  vs Detonation FocusMe ,T1 vs DFM 0,1,MSI,MSI 2022,T1 ,Detonation FocusMe ,2022-05-12,0,blue,26,11,37,10,1,11,2,0,2,1,0,1,57.7,40.3,98.0,blue,125,blue,898,blue,125,blue,529,blue,1292,1482,"Zeus,Oner,Faker,Gumayusi,Keria,","Evi,Steal,Yaharong,Yutapon,Harp,"
15,16502022,15,PSG Talon  vs RED Canids ,PSG Talon vs RED Canids 0,1,MSI,MSI 2022,PSG Talon ,RED Canids ,2022-05-13,0,blue,14,1,15,7,4,11,1,0,1,1,0,1,51.8,44.3,96.1,blue,618,red,914,red,369,red,610,blue,1377,1666,"Hanabi,Juhan,Bay,Unified,Kaiwing,","Guigo,Aegis,Grevthar,Titan,JoJo,"
16,17502022,16,Royal Never Give Up  vs Istanbul Wildcats ,RNG vs IW 0,1,MSI,MSI 2022,Royal Never Give Up ,Istanbul Wildcats ,2022-05-13,0,blue,29,11,40,10,0,10,3,0,3,0,0,0,52.7,38.8,91.5,blue,125,blue,626,blue,125,blue,513,none,0,1396,"Bin,Wei,xiaohu,GALA,Ming,","StarScreen,Ferret,Serin,Holyphoenix,Farfetch,"
17,18502022,17,Istanbul Wildcats  vs PSG Talon ,IW vs PSG Talon 0,1,MSI,MSI 2022,Istanbul Wildcats ,PSG Talon ,2022-05-13,0,red,17,20,37,3,9,12,2,0,2,0,1,1,55.6,63.5,119.1,blue,395,red,1206,blue,395,red,610,red,1564,1976,"StarScreen,Ferret,Serin,Holyphoenix,Farfetch,","Hanabi,Juhan,Bay,Unified,Kaiwing,"
18,19502022,18,RED Canids  vs Royal Never Give Up ,RED Canids vs RNG 0,1,MSI,MSI 2022,RED Canids ,Royal Never Give Up ,2022-05-13,0,red,3,20,23,1,7,8,0,0,0,0,0,0,29.6,43.7,73.30000000000001,red,257,red,802,red,257,blue,617,none,0,1233,"Guigo,Aegis,Grevthar,Titan,JoJo,","Bin,Wei,xiaohu,GALA,Ming,"
