,ID,Game Name,Tournament,Blue Team Name,Red Team Name,Date,Week,Winner,Blue kills,Red kills,Total kills,Blue towers,Red towers,Total towers,Blue dragons,Red dragons,Total dragons,Blue barons,Red barons,Total barons,Blue gold,Red gold,Total gold,First blood team,First blood time,First tower team,First tower time,First dragon team,First dragon time,First rift herald team,First rift herald time,First baron team,First baron time,Game time
0,12122,Rogue  vs Misfits Gaming ,LEC Spring Playoffs 2022,Rogue ,Misfits Gaming ,2022-03-25,0,,27,9,36,9,3,12,0,3,3,2,0,2,76.0,61.7,137.7,Misfits Gaming ,3:11,Misfits Gaming ,15:33,blue,6:30,blue,10:27,,0,2279
1,22122,Misfits Gaming  vs Rogue ,LEC Spring Playoffs 2022,Misfits Gaming ,Rogue ,2022-03-25,0,,6,19,25,3,11,14,0,4,4,0,2,2,50.3,62.5,112.8,Misfits Gaming ,4:47,Rogue ,11:07,red,11:32,red,8:46,,0,1870
2,32122,Misfits Gaming  vs Rogue ,LEC Spring Playoffs 2022,Misfits Gaming ,Rogue ,2022-03-25,0,,16,6,22,11,1,12,0,0,0,1,0,1,50.1,38.5,88.6,Misfits Gaming ,7:06,,12:58,blue,10:07,blue,11:46,,0,1410
3,42122,Rogue  vs Misfits Gaming ,LEC Spring Playoffs 2022,Rogue ,Misfits Gaming ,2022-03-25,0,,20,4,24,10,1,11,0,0,0,0,0,0,47.9,34.1,82.0,Rogue ,6:12,Misfits Gaming ,14:38,,0,red,10:32,,0,1361
4,52122,Fnatic  vs G2 Esports ,LEC Spring Playoffs 2022,Fnatic ,G2 Esports ,2022-03-26,0,,20,8,28,9,1,10,0,1,1,1,0,1,53.0,42.2,95.2,Fnatic ,8:22,,14:57,blue,6:20,blue,8:18,,0,1569
5,62122,G2 Esports  vs Fnatic ,LEC Spring Playoffs 2022,G2 Esports ,Fnatic ,2022-03-26,0,,20,4,24,11,3,14,0,1,1,1,0,1,64.0,52.7,116.7,G2 Esports ,4:28,,11:25,red,9:30,blue,8:37,,0,2077
6,72122,Fnatic  vs G2 Esports ,LEC Spring Playoffs 2022,Fnatic ,G2 Esports ,2022-03-26,0,,21,12,33,11,1,12,0,0,0,1,0,1,69.0,55.4,124.4,Fnatic ,3:07,,11:16,blue,13:23,blue,10:25,,0,2105
7,82122,G2 Esports  vs Fnatic ,LEC Spring Playoffs 2022,G2 Esports ,Fnatic ,2022-03-26,0,,14,15,29,2,7,9,0,4,4,0,0,0,48.8,51.1,99.9,G2 Esports ,4:01,,14:59,red,6:37,red,8:18,,0,1796
8,92122,Excel Esports  vs Team Vitality ,LEC Spring Playoffs 2022,Excel Esports ,Team Vitality ,2022-03-27,0,,20,7,27,11,5,16,0,2,2,2,0,2,71.1,62.4,133.5,Excel Esports ,0:57,,14:22,blue,13:10,blue,9:06,,0,2234
9,102122,Team Vitality  vs Excel Esports ,LEC Spring Playoffs 2022,Team Vitality ,Excel Esports ,2022-03-27,0,,20,8,28,8,5,13,0,0,0,1,0,1,60.9,53.6,114.5,Excel Esports ,4:57,Excel Esports ,14:56,blue,6:47,blue,8:42,,0,1866
